Here's your task recommendation on tasks you're working...

email,taskname,category,startdate,duedate,hours
dwight@dm.org,complete SE project,Intellectual,2021-11-30,2021-12-04,4


Here are some task recommnedation so you don't miss the deadlines...

email,taskname,category,startdate,duedate,hours
dwight@dm.org,hello,Intellectual,2021-12-12,2021-12-16,2
dwight@dm.org,Running,physical,2021-12-12,2021-12-12,2
dwight@dm.org,Fix bugs in code,Intellectual,2021-12-02,2021-12-04,3
dwight@dm.org,complete UI design,Intellectual,2021-12-06,2021-12-09,2
dwight@dm.org,HRT test,Intellectual,2021-12-02,2021-12-12,3
